_id,checkin_count,الموقع,Site,City English,City Arabic,Brn,Y GIS Coordinates,Site Type,X GIS Coordinates,id,Reg
42,,محطة الحاسن - مركز الحميد - بلجرشي,ALHASIN GAS STATION,BILGORSHI,بلجرشي,Of Site,19.840267,drive up - Island,41.689031,40,AL-BAHA
43,,امام شركة تويوتا,TOYOTA CENTER,BILGORSHI,بلجرشي,Of Site,19.8631833333333,drive up - Island,41.5738333333333,41,AL-BAHA
44,,محطة الرده,AL_REDDA GAS STATION.,BILGORSHI,بلجرشي,Of Site,19.8670166666667,drive up - Island,41.5732833333333,42,AL-BAHA
45,,محطة سعيد حشران,SAYD HASHRAN GAS STATION,BILGORSHI,بلجرشي,Of Site,19.8515166666667,drive up - Island,41.5829333333333,43,AL-BAHA
46,,محطة بنى سالم,BANI SALEM GAS STATION,BILGORSHI,بلجرشي,Of Site,19.9053833333333,drive up - Island,41.5689166666667,44,AL-BAHA
47,,محطة الغرامة,ALGARAMAH GAS STATION,BILGORSHI,بلجرشي,Of Site,19.8936,drive up - Island,41.57505,45,AL-BAHA
48,,محطة الجمعية الخيرية بشرى,SHURA GAS STATION,BILGORSHI,بلجرشي,Of Site,19.8153666666667,drive up - Island,41.7740833333333,46,AL-BAHA
50,,محطة وقنان الزهراني ( بديل ضمان قلوة ) الهميطى حاليا,WAKNAN ZEHRANI GAS STN.,QULWA,قلوة,Of Site,19.9378833333333,drive up - Island,41.2566833333333,48,AL-BAHA
52,,محطة المئوية,AL MEAWOIAH GAS STATION,QULWA,قلوة,Of Site,19.9500166666667,drive up - Island,41.2378833333333,50,AL-BAHA
53,,محطة النصر للمحروقات - الشعرا,AL NASR GAS STATION,QULWA,قلوة,Of Site,20.059051,drive up - Island,41.179306,51,AL-BAHA
38,1,مركز المشعان,AL-MASHAAN,HAIL,حائل,Of Site,27.3838,drive up - Island,41.5595166666667,1282,Hail
49,3,محطة رامي,RAMI GAS STATION,JARAB AQIQ,جرب - العقيق,Of Site,20.440577,drive up - Island,41.928801,47,AL-BAHA
51,1,محطة الحجرة بقلوة,ALHOGRA -QILWAH GAS ST,QULWA,قلوة,Of Site,20.2031,drive up - Island,41.073767,49,AL-BAHA
54,,مكتب الضمان - قلوة,SOCIAL-QALWAH,QULWA,قلوة,Of Site,19.9500833333333,Room-Window,41.23605,52,AL-BAHA
55,,فرع قلوة 1,CA-QULOA BR. 2,QULWA,قلوة,Brn,19.9434833333333,Room-Lobby,41.2482166666667,53,AL-BAHA
56,,فرع قلوة 2,QULWAH BRANCH,QULWA,قلوة,Brn,19.9434833333333,Room-Lobby,41.2482166666667,54,AL-BAHA
58,,محطة الوصيوص,WOSIWIS GAS STATION,AL-EISAWAYAH,العيساوية,Of Site,30.7279333333333,drive up - Island,37.9699833333333,56,AL-JOUF
59,,محطة لقاء,LEQAA GAS STATION,AL-HADIASAH,الحديثة,Of Site,31.467729,drive up - Island,37.14181,57,AL-JOUF
62,,محطة القبيسي 1,AL QOBAIS GAS STATION 1,AL-JOUF,الجوف,Of Site,29.9935,drive up - Island,40.2094666666667,60,AL-JOUF
63,,محطة الفلاح صوير,AL FALAH SUWAIR,AL-JOUF,الجوف,Of Site,30.1325833333333,drive up - Island,40.3697666666667,61,AL-JOUF
64,,محطة العامودي,AL AMOUDI GAS STATION,AL-JOUF,الجوف,Of Site,29.93475,drive up - Island,40.2066166666667,62,AL-JOUF
65,,محطة القافلة الدريس,AL QAFILA GAS STATION,AL-JOUF,الجوف,Of Site,29.9806833333333,drive up - Island,40.2232,63,AL-JOUF
66,,محطة لؤلؤة الجوف,LOLOAT AL JOUF GAS STN.,AL-JOUF,الجوف,Of Site,29.9609166666667,drive up - Island,40.2228833333333,64,AL-JOUF
67,,محطة الكوكب,AL KAWKAB GAS STATION,AL-JOUF,الجوف,Of Site,29.9003,drive up - Island,40.21105,65,AL-JOUF
68,, محطة الشايش,KHALAF SHAYSH GAS STN.,AL-JOUF,الجوف,Of Site,29.8615666666667,drive up - Island,40.21465,66,AL-JOUF
69,,محطة القبيسي 2,AL QOBAIS GAS STATION 2,AL-JOUF,الجوف,Of Site,29.9933333333333,drive up - Island,40.2090833333333,67,AL-JOUF
70,,نادى القلعة,ALQALAA SPORTS CLUB,AL-JOUF,الجوف,Of Site,29.9534,drive up - Island,40.1966333333333,68,AL-JOUF
71,,محطة السيارة الجوف,AL SAYARA GAS STATION,AL-JOUF,الجوف,Of Site,29.8691333333333,drive up - Island,40.2189666666667,69,AL-JOUF
72,,امام فرع الجوف 3 - سيار,ALJOUF BRANCH,AL-JOUF,الجوف,Of Site,29.9608666666667,drive up - Island,40.20385,70,AL-JOUF
57,2,فرع البسيطاء,CA-BASITA OFFICE,AL-BOSAYTA,البسيطاء,Brn,29.931298,Room-Lobby,38.49063,55,AL-JOUF
61,8,فرع الحديثة 2,AL-HADITHAH BRANCH 2,AL-HADIASAH,الحديثة,Brn,31.5143333333333,Room-Window,37.114,59,AL-JOUF
73,,محطة فوزي المويشير,FAWZI MOISHER GAS STN.,AL-JOUF,الجوف,Of Site,29.9716833333333,drive up - Island,40.1986166666667,71,AL-JOUF
